room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
10347659,25846886,Entire home/apt,,2,1,4,,4,1000,,21.647347,-157.923342,25:42.7
789456,4049989,Entire home/apt,,4,1,5,1,1,165,3,21.283609,-157.837713,25:37.2
2619024,13412580,Entire home/apt,,4,11,5,5,2,249,3,21.277054,-157.823222,25:29.3
6676900,10496350,Entire home/apt,,4,1,5,,5,1050,14,21.272657,-157.782228,25:25.5
1832582,8031844,Entire home/apt,,4,110,4.5,2,0,104,3,21.279265,-157.82447,25:19.7
8018220,36232034,Entire home/apt,,3,31,5,3,1,175,1,21.392537,-157.71784,25:11.9
9075693,31115693,Private room,,3,2,4.5,2,1,80,1,21.400263,-157.785526,24:51.1
673327,1866267,Entire home/apt,,2,3,5,4,1,359,2,21.638965,-157.919416,24:48.6
6095863,25809048,Entire home/apt,,4,35,5,4,0,96,1,21.286204,-157.831854,24:35.0
4258376,1740542,Entire home/apt,,4,33,4,2,0,109,2,21.280568,-157.824378,24:33.1
6942861,36406422,Entire home/apt,,2,9,5,5,0,99,3,21.646042,-158.051032,24:18.6
7899218,41649428,Private room,,4,1,,2,1,95,1,21.284445,-157.70298,24:09.1
10679319,45388803,Entire home/apt,,4,0,,2,0,89,1,21.287436,-157.832153,24:01.2
1346576,7054805,Entire home/apt,,4,13,4.5,4,0,209,2,21.290334,-157.847549,23:59.1
4863016,10212153,Entire home/apt,,3,7,5,2,1,195,2,21.399505,-157.750468,23:51.9
295520,1456277,Private room,,5,36,5,2,1,69,7,21.299745,-157.791983,23:46.5
1975815,7442275,Entire home/apt,,4,2,,,2,389,2,21.291085,-157.839855,23:43.3
6248353,32436063,Entire home/apt,,5,3,4,2,1,90,3,21.301564,-157.833104,23:41.4
946049,5126451,Entire home/apt,,2,79,4.5,2,1,147,3,21.626055,-158.075723,23:37.6
2236758,11346500,Entire home/apt,,1,1,5,4,1,215,5,21.463089,-158.21197,23:22.4
331910,1671879,Entire home/apt,,4,36,4,4,0,135,3,21.281605,-157.826745,23:07.8
178607,706371,Entire home/apt,,4,9,4.5,4,,149,3,21.290923,-157.840697,22:57.0
2441489,706371,Entire home/apt,,4,2,4.5,4,0,150,3,21.291231,-157.840534,22:51.0
7460571,26333323,Entire home/apt,,5,6,4.5,,2,230,5,21.286954,-157.823211,22:47.5
1949136,10065007,Private room,,4,1,5,2,1,100,1,21.258386,-157.817491,22:31.6
10999124,11763720,Entire home/apt,,4,3,4.5,2,0,80,1,21.276539,-157.824042,22:25.0
10578580,308899,Entire home/apt,,4,4,5,2,0,103,3,21.295606,-157.785775,22:22.1
8473997,43793840,Entire home/apt,,4,11,4.5,4,0,105,1,21.276309,-157.824544,22:11.8
8427787,42536781,Entire home/apt,,4,7,4.5,,3,325,3,21.288462,-157.791468,22:09.1
6818259,35637303,Entire home/apt,,4,2,4,5,1,195,3,21.274358,-157.821597,22:01.8
11224092,58485617,Entire home/apt,,3,0,,,9,1295,5,21.397187,-157.729842,21:55.0
6665571,33380091,Entire home/apt,,4,0,,3,1,190,1,21.274975,-157.820588,21:41.2
4416745,12622337,Entire home/apt,,4,20,5,,2,251,3,21.273631,-157.819771,21:38.4
2936997,740644,Entire home/apt,,4,74,5,2,0,125,1,21.285662,-157.83347,21:34.3
9742992,12138629,Private room,,9,7,4.5,2,1,38,2,21.339509,-158.027575,21:24.7
6855111,7338403,Private room,,2,9,4.5,2,1,98,1,21.555781,-157.854259,21:22.6
969607,4201037,Entire home/apt,,4,57,4.5,2,1,130,2,21.280531,-157.828193,21:00.8
5755818,29164377,Entire home/apt,,4,0,,,5,3134,7,21.296923,-157.701001,20:44.0
3680726,4178827,Entire home/apt,,5,57,4,,2,125,1,21.309591,-157.812404,20:41.4
710538,3644514,Private room,,6,17,5,2,1,58,12,21.32883,-157.847211,20:36.5
6958536,15740862,Private room,,1,34,5,2,1,70,1,21.317466,-158.033289,20:32.8
5781709,4088632,Entire home/apt,,4,39,4.5,3,0,105,2,21.283994,-157.797966,20:30.0
196758,958466,Entire home/apt,,2,79,5,4,0,135,4,21.651488,-158.055271,20:16.5
6144008,24423301,Entire home/apt,,5,0,,3,0,110,3,21.294232,-157.841082,20:10.1
6714637,4384556,Entire home/apt,,4,21,5,,4,459,1,21.270359,-157.815265,20:06.7
3961051,14040,Entire home/apt,,7,48,4.5,2,0,79,3,21.353242,-157.921233,20:03.2
8650938,45468059,Private room,,9,2,5,2,1,59,2,21.435084,-158.014732,20:01.0
4583439,968664,Entire home/apt,,3,14,5,4,1,130,3,21.420952,-157.75249,19:56.8
7684483,33123363,Private room,,5,21,4,2,1,59,1,21.295671,-157.843605,19:53.0
609772,676697,Entire home/apt,,4,3,3,5,2,140,30,21.278572,-157.824472,19:47.9
164963,770461,Entire home/apt,,2,31,4.5,,2,400,2,21.662393,-158.052077,19:44.2
8579868,10496350,Entire home/apt,,4,0,,,5,1025,7,21.300034,-157.676472,19:34.5
9255450,4183111,Entire home/apt,,4,0,,2,0,210,4,21.279853,-157.830536,19:30.5
6705852,34946956,Entire home/apt,,4,1,5,2,1,125,2,21.278446,-157.82458,19:28.1
4403646,22857543,Private room,,4,22,5,2,1,65,3,21.281741,-157.793252,19:26.6
7040306,16759150,Shared room,,4,39,4.5,2,1,57,1,21.27925,-157.823795,19:19.8
5641861,18268146,Entire home/apt,,3,3,5,2,1,120,7,21.403498,-157.742341,19:16.9
1925767,9976338,Entire home/apt,,2,15,5,,4,450,1,21.621371,-157.916306,19:13.6
